Student_ID,Name,Math,Science,English,Computer
S001,Aarav,85,78,92,88
S002,Diya,72,81,75,79
S003,Rohan,45,52,48,50
S004,Ananya,91,89,95,93
S005,Vikram,66,70,62,68
S006,Meera,38,44,41,35
S007,Arjun,78,74,80,82
S008,Sneha,88,92,85,90
S009,Karan,55,61,58,54
S010,Ishita,95,94,91,96
S011,Rahul,69,65,72,70
S012,Priya,82,86,79,84
S013,Aditya,48,55,51,46
S014,Kavya,76,80,74,78
S015,Manish,59,63,57,60
S016,Neha,93,87,90,94
S017,Sameer,42,49,45,40
S018,Pooja,71,77,73,75
S019,Nikhil,64,68,66,62
S020,Riya,89,91,88,92
